High;close;volume
11,55000019;11,11999989;4864322
11,27999973;10,76000023;5520210
10,97999954;10,92000008;7038886
11,42000008;11,42000008;7282602
11,73999977;11,43999958;7075356
11,44999981;11,44999981;5626819
11,61999989;11,31999969;5579050
11,59000015;11,02000046;9052957
11,43999958;11,10999966;4987451
11,52000046;11,35999966;5274492
12,19999981;11,98999977;15516919
12,26000023;11,98999977;9136485
12,10000038;11,89000034;5238927
12,19999981;11,60999966;8977777
12,02000046;11,94999981;3636771
12,17000008;11,94999981;4484099
12,10999966;11,88000011;7243066
12,47000027;12,42000008;9280424
12,5;12,38000011;5649680
12,63000011;12,47000027;6171028
12,68000031;12,43000031;7725094
12,69999981;12,69999981;5740625
12,88000011;12,65999985;3606942
12,86999989;12,65999985;5495031
12,96000004;12,72999954;7375604
13,02999973;12,60999966;4553178
12,76000023;12,59000015;4645576
12,97999954;12,48999977;5839825
12,36999989;12,21000004;10162051
12,39000034;12,30000019;4837911
12,76000023;12,68999958;7170844
12,78999996;12,5;5119397
12,55000019;12,02000046;8023518
12,51000023;12,48999977;5488408
12,76000023;12,5;4927436
12,67000008;12,22000027;6399696
12,47999954;12,19999981;14661270
12,77999973;12,77999973;19668458
12,98999977;12,96000004;21296220
12,89999962;12,42000008;3394390
12,64999962;12,60000038;5933336
13,18999958;13,11999989;14513281
13,25;12,68999958;5517982
13,05000019;12,82999992;28080062
13,10999966;12,93999958;8825369
13,14999962;12,85000038;10383450
13,09000015;12,97999954;28749968
13,35000038;12,93999958;29635394
13,36999989;13,36999989;25386768
13,81000042;13,75;34784084
13,78999996;13,53999996;55251620
13,59000015;13,42000008;31187738
13,53999996;13,03999996;6415538
13,38000011;13,03999996;7112268
12,94999981;12,81999969;20656004
13,28999996;13,26000023;59868096
13,69999981;13,43000031;34348792
13,48999977;13,02000046;11483908
12,97000027;12,75;12361783
13,14000034;12,85999966;31622784
13,14999962;13,06000042;9276018
13,39999962;13,35999966;11143256
13,57999992;13,47000027;6744348
13,65999985;13,34000015;8763364
13,60000038;13,57999992;7308815
13,64000034;13,43999958;5275414
13,43000031;12,92000008;7838139
13,17000008;13,01000023;7019708
13,38000011;12,94999981;7736590
12,98999977;12,88000011;7018600
13,15999985;12,88000011;5303870
13,23999977;13,10000038;7832604
13,60999966;13,57999992;5418309
13,69999981;13,43999958;8449242
13,60000038;12,80000019;32443764
13,18999958;13,18999958;10532159
13,14000034;13,02000046;5697592
13,14000034;12,90999985;5802967
13,27999973;12,85000038;11572099
13,10000038;12,85999966;7885379
13,27000046;13,06999969;7548277
13,10000038;13;9547072
13,26000023;12,90999985;5790510
13,05000019;12,88000011;5673373
13,14999962;13,06000042;12028947
13,18999958;13,06000042;6017396
13,13000011;12,72999954;9245270
12,88000011;12,30000019;21810908
12,69999981;12,47999954;7636201
12,67000008;11,98999977;10103175
12,47999954;12,47999954;7898501
12,86999989;12,80000019;9982022
13,55000019;13,19999981;8073575
13,39999962;13,07999992;9578495
13,52999973;13,18000031;6827236
13,42000008;13,19999981;6865185
13,80000019;13,72999954;22351824
13,64000034;13,44999981;16716023
13,98999977;13,94999981;8959159
14,30000019;14,19999981;11127304
13,63000011;13,60000038;62670100
13,68000031;13,55000019;6642589
13,39999962;13,22000027;11057778
13,44999981;13,30000019;9757755
13,64999962;13,51000023;17533412
13,77000046;13,60999966;9326126
13,89999962;13,75;8149795
14,30000019;14,05000019;18899292
14,18999958;14;8631613
14,14999962;13,96000004;8968580
13,94999981;13,82999992;9026618
14,17000008;14,02000046;8178691
14,18000031;14,07999992;5363610
14,22999954;14,06000042;5180986
14,22999954;13,60000038;11473845
13,80000019;13,69999981;4329718
13,69999981;13,64999962;5404044
13,85000038;13,57999992;7230334
13,60999966;13,51000023;6111541
13,61999989;13,43000031;6874324
13,64999962;13,55000019;6626306
13,67000008;13,30000019;11633007
13,38000011;13,05000019;10501840
13,15999985;13,15999985;5637876
13,42000008;13,18000031;5082951
13,42000008;13,39000034;7299894
13,5;13,42000008;6385975
13,43999958;13,14999962;5067919
13,39000034;13,38000011;4607412
13,5;13,38000011;5517382
13,5;13,32999992;4366959
13,64999962;13,38000011;10692743
13,64000034;13,60000038;3867025
13,72999954;13,63000011;4899817
13,55000019;13,25;6071830
13,39999962;13,32999992;5155009
13,36999989;13,30000019;7858450
13,42000008;13,32999992;13605302
13,39999962;13,30000019;11395356
13,44999981;13,35000038;1915991
13,34000015;13,31000042;9469358
13,52000046;13,44999981;6711378
13,5;13,36999989;3613969
13,51000023;13,43999958;6459061
13,59000015;13,52000046;5698921
13,53999996;13,48999977;4613624
13,72000027;13,69999981;9877171
13,82999992;13,64000034;11372530
13,89999962;13,85999966;15089725
13,82999992;13,80000019;4046504
13,94999981;13,86999989;9882328
14,05000019;13,98999977;8106372
14,14999962;14,14000034;9307600
14,23999977;14,09000015;6556649
14,27999973;14,26000023;5846702
14,38000011;14,21000004;9065966
14,39999962;14,38000011;7067943
14,39000034;14,25;5514474
14,40999985;14,40999985;17578034
14,35000038;14,26000023;11957425
14,35999966;14,25;5233270
14,35000038;14,26000023;7174499
14,35000038;14,28999996;5911898
14,34000015;14,14999962;8379344
14,26000023;14,11999989;10166010
14,19999981;13,89999962;10886839
14,14000034;14,02999973;20531476
14,14999962;13,93999958;7667378
14,09000015;13,94999981;9571557
14,17000008;14,06999969;11666932
14,27000046;14,15999985;42819076
14,25;14,15999985;29848724
14,19999981;14,03999996;28678958
14,18999958;14,18999958;20715978
14,32999992;14,30000019;35620412
14,25;14,15999985;23765172
14,18000031;14,06999969;35003516
14,18000031;14,07999992;30363540
14,18000031;14,07999992;27192500
14,19999981;14,05000019;10206977
14,18000031;14,10000038;10514220
14,14999962;14,06999969;2921079
14,25;14,19999981;10441925
14,17000008;14,13000011;7214532
14,28999996;14,21000004;5338214
14,26000023;14,14000034;4474847
14,30000019;14,19999981;5493850
14,28999996;14,25;6943643
14,30000019;14,21000004;4432893
14,31999969;14,18999958;8571883
14,27000046;14,27000046;4132466
14,31999969;14,11999989;11123678
14,22999954;14,19999981;5164993
14,47000027;14,39999962;6983486
14,71000004;14,63000011;14969328
14,81000042;14,67000008;6826298
14,78999996;14,63000011;3217307
14,94999981;14,90999985;7648857
15,10000038;15,09000015;13791290
15,22999954;15,14000034;7122664
15,26000023;15,22999954;9434913
15,39999962;15,31000042;7120245
15,5;15,46000004;5782126
15,56999969;15,47999954;6617877
15,56999969;15,32999992;5077625
15,39000034;15,35999966;3894440
15,51000023;15,51000023;6474053
15,60000038;15,38000011;5272735
15,53999996;15,52999973;4182676
15,64999962;15,61999989;5492377
15,88000011;15,77999973;7913353
15,82999992;15,65999985;5193741
15,68999958;15,48999977;7172624
15,77999973;15,64999962;7763464
15,72999954;15,25;9239112
15,17000008;14,86999989;14738928
15,07999992;14,82999992;9166067
14,90999985;14,60000038;10768146
14,75;14,63000011;17248544
14,93999958;14,82999992;6561930
15;14,89000034;6189593
14,89999962;14,89999962;13563390
14,97999954;14,77999973;26833948
14,68999958;14,64000034;26394072
14,68000031;14,52999973;9017416
14,80000019;14,56000042;14760543
14,64000034;14,51000023;8532853
14,57999992;14,35000038;6008151
14,42000008;14,22999954;5969192
14,27999973;14,10999966;7932583
14,42000008;14,39000034;7103872
14,67000008;14,47999954;9926296
14,80000019;14,77000046;8516546
14,82999992;14,78999996;6664478
14,81999969;14,71000004;4850380
14,81000042;14,65999985;4444463
14,86999989;14,85000038;9465676
14,96000004;14,85999966;6042016
15,22999954;15,14000034;6133682
15,22999954;15,22999954;4867353
15,43999958;15,17000008;6794542
15,31999969;15,10000038;5142522
15,25;15,07999992;6150712
15,13000011;15,13000011;4628650
15,27000046;15,02999973;6589242
15,07999992;14,77000046;4331619
14,72999954;14,72000027;5989503
14,77999973;14,60000038;3609683
14,89999962;14,78999996;4089369
14,98999977;14,92000008;6954445
15,03999996;14,88000011;5605322
15,18999958;14,98999977;6083818
15,03999996;15;8825328
15,26000023;15,19999981;6356237
15,30000019;15,19999981;9699505
15,18999958;15,10999966;6387867
15,23999977;15,22999954;8893260
15,22999954;15,21000004;8462230
15,21000004;14,96000004;7213481
14,93999958;14,77999973;9899228
14,81999969;14,72999954;6329140
14,82999992;14,71000004;7513430
14,77000046;14,72000027;7644667
14,68999958;14,40999985;7984122
14,52000046;14,32999992;8900854
14,60000038;14,55000019;13297424
14,59000015;14,47000027;7373843
14,55000019;14,48999977;8627958
14,61999989;14,60000038;10610636
14,65999985;14,64000034;5543959
14,71000004;14,55000019;4637388
14,63000011;14,5;4004063
14,59000015;14,56999969;11562638
14,72000027;14,68000031;7088666
14,64000034;14,57999992;10343944
14,72999954;14,64000034;6408508
14,68999958;14,64999962;4001354
14,72999954;14,65999985;3935069
14,77000046;14,56999969;21753844
14,55000019;14,53999996;23602842
14,75;14,72999954;11053891
14,85999966;14,73999977;26492872
14,92000008;14,80000019;20113292
14,85999966;14,77000046;28247748
14,96000004;14,85999966;10666700
15,17000008;15,14000034;25220468
15,27000046;15,27000046;32163218
15,38000011;15,32999992;19505884
15,39000034;15,30000019;10373931
15,47000027;15,47000027;6276598
15,59000015;15,46000004;7659951
15,68999958;15,68999958;6084328
15,68999958;15,68999958;5029932
15,72999954;15,51000023;33833484
15,69999981;15,64999962;11416603
15,64999962;15,48999977;14978059
15,61999989;15,55000019;39730916
15,81000042;15,71000004;84391328
15,75;15,72000027;12022755
15,53999996;15,51000023;9011953
15,59000015;15,48999977;12419291
15,76000023;15,75;16630171
16,21999931;16,05999947;70805184
16,61000061;16,61000061;23434416
16,68000031;16,54999924;20402380
16,67000008;16,35000038;13102008
16,34000015;16,21999931;31864730
16,48999977;16,18000031;55260052
16,37000084;16,28000069;16056628
16,32999992;16,19000053;8105838
16,32999992;16,29999924;11305868
16,39999962;16,30999947;6010224
16,29999924;16,22999954;5747271
16,42000008;16,30999947;5120403
16,62000084;16,39999962;6322403
16,63999939;16,53000069;6320141
16,89999962;16,79999924;11018270
16,79000092;16,67000008;8017409
16,63999939;16,63999939;13212090
16,77000046;16,77000046;10641470
16,87000084;16,79000092;8396861
16,86000061;16,84000015;5828954
16,87000084;16,85000038;10080890
16,85000038;16,70000076;22522780
16,77000046;16,73999977;11419450
16,87000084;16,76000023;8173271
16,95999908;16,88999939;7646595
16,75;16,37999916;19148970
16,40999985;16,39999962;17423230
16,55999947;16,39999962;8595814
16,57999992;16,5;9377099
16,73999977;16,71999931;9342024
17;16,95000076;10146119
17,05999947;16,86000061;10902921
16,95999908;16,89999962;4680225
16,98999977;16,90999985;6042021
16,93000031;16,90999985;4533039
16,80999947;16,72999954;7448528
17,02000046;16,97999954;11724235
16,89999962;16,70000076;10171810
16,68000031;16,5;8927440
16,48999977;16,17000008;15553860
16,45999908;16,39999962;13313752
16,48999977;16,42000008;16630559
16,64999962;16,45000076;16997848
16,76000023;16,63999939;23293230
16,57999992;16,35000038;11910077
16,52000046;16,32999992;4788109
16,47999954;16,35000038;14174750
16,59000015;16,43000031;5860994
16,55999947;16,54999924;5411503
16,63999939;16,61000061;5300045
16,70000076;16,62999916;4248483
16,97999954;16,86000061;10274361
16,96999931;16,70000076;10233805
16,87999916;16,86000061;20223358
17,29999924;17,23999977;14732477
17,77000046;17,53000069;36441040
17,70999908;17,56999969;8821340
17,95999908;17,87000084;7751767
18,29999924;18,20999908;10485534
18,14999962;17,92000008;11378157
18,19000053;17,97999954;8165167
18,29000092;18,22999954;10692132
18,25;17,93000031;9941870
18,14999962;17,95999908;8543371
17,88999939;17,85000038;6283603
18;17,87000084;9470628
18,10000038;17,89999962;4986587
18,45000076;18,19000053;14105265
18,35000038;18,20000076;7333824
18,35000038;18,11000061;12088826
18,04000092;17,73999977;13285006
17,72999954;17,56999969;10353316
17,77000046;17,68000031;7780489
17,97999954;17,76000023;9125164
18,02000046;17,89999962;8933004
18,03000069;17,73999977;9509057
17,85000038;17,36000061;13738011
17,29000092;16,89999962;15516093
16,95999908;16,88999939;13789900
17,12999916;16,70000076;14037997
16,93000031;16,86000061;8783453
17;16,86000061;7154526
16,80999947;16,65999985;7238871
16,70000076;16,59000015;15223168
16,84000015;16,73999977;7390768
16,93000031;16,78000069;5343643
17,01000023;16,76000023;7518701
17,09000015;16,89999962;7982498
17,20999908;17,10000038;11197157
17,38999939;17,31999969;8235885
17,51000023;17,35000038;10404709
17,54000092;17,36000061;5877791
17,5;17,38999939;3632761
17,45999908;17,20999908;7537918
17,34000015;17,11000061;9813354
17,18000031;17,05999947;8429030
17,34000015;17,27000046;15408960
17,45999908;17,28000069;7396060
17,54999924;17,39999962;10707698
17,55999947;17,34000015;7866753
17,60000038;17,53000069;8096870
17,73999977;17,62999916;20575866
17,69000053;17,51000023;6015452
